_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
662532e3a45a2d5371393140,,48.79,93.8,49.39,53.04,244;1;0;0,time,60,-1,1,60.01,1,1.91,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713713891000
6625307da45a2d53713916f8,,58.19,97.33,58.19,69.24,291;0;0;0,time,60,-1,2,60.01,0,29.36,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713713277000
66252fd3a45a2d5371390ff1,,22.4,93.55,23.99,1.54,112;2;0;0,time,60,-1,0,60.01,32,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713713107000
66252f95a45a2d5371390d0b,,58.59,96.77,59.59,64.82,293;1;0;0,time,60,-1,1,60.01,0,2.78,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713713045000
66252f3ca45a2d537139092d,,57.99,97.65,57.99,63.63,290;0;0;0,time,60,-1,5,60.01,1,91.2,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713712956000
66252e83a45a2d53713901f6,,57.79,96.05,57.79,67.4,289;0;0;0,time,60,-1,0,60.01,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713712771000
66252e3da45a2d537138ff33,,57.2,95.47,58.2,65.67,286;1;0;0,time,60,-1,0,60,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713712701000
66252dffa45a2d537138fcdc,,58.99,97.7,58.99,72.58,295;0;0;0,time,60,-1,0,60.01,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713712639000
66252dc0a45a2d537138fa4d,,50.39,96.3,50.39,62.94,252;0;0;0,time,60,-1,0,60.01,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713712576000
66252d7aa45a2d537138f776,,46.59,93.65,46.59,57.49,233;0;0;0,time,60,-1,0,60.01,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713712506000
66252d33a45a2d537138f4be,,51.59,96.32,51.59,66.93,258;0;0;0,time,60,-1,0,60.01,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713712435000
66252b5da45a2d537138e26b,,60.19,97.1,60.19,67.01,301;0;0;0,time,60,-1,2,60.01,1,11.08,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713711965000
66252ac4a45a2d537138dc7d,,53.39,95.09,53.39,60.52,267;0;0;0,time,60,-1,0,60.01,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713711812000
66252a85a45a2d537138da1b,,47.99,94.16,47.99,46.91,240;0;0;0,time,60,-1,0,60.01,1,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713711749000
66252a43a45a2d537138d77d,,55.39,96.88,55.39,63.97,277;0;0;0,time,60,-1,0,60.01,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713711683000
66252a04a45a2d537138d4f1,,50.99,94.85,50.99,56.21,255;0;0;0,time,60,-1,0,60.01,1,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713711620000
662529c6a45a2d537138d267,,59.79,98.04,59.79,70.33,299;0;0;0,time,60,-1,0,60.01,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713711558000
66252969a45a2d537138ce82,,58.18,96.69,58.18,65.22,291;0;0;0,time,60,-1,0,60.02,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713711465000
6625292aa45a2d537138cbb0,,51.19,96.69,51.19,54.76,256;0;0;0,time,60,-1,0,60.01,2,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713711402000
662528e7a45a2d537138c8f6,,48.79,91.43,52.79,66.2,61;1;1;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713711335000
662528d6a45a2d537138c84b,,62.39,96.3,62.39,78.83,78;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713711318000
662528c4a45a2d537138c798,,47.19,92.31,47.19,51.92,59;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713711300000
662528b3a45a2d537138c6d8,,60,96.15,60,67.67,75;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713711283000
66252880a45a2d537138c4d3,,64.79,100,64.79,73.99,81;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713711232000
66252869a45a2d537138c3d2,,39.19,92.59,39.19,46.69,49;0;0;0,time,15,-1,0,15,1,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713711209000
66252846a45a2d537138c253,,59.99,96.15,60.79,73.54,75;1;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713711174000
66252835a45a2d537138c19c,,36.79,90.91,36.79,45.94,46;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713711157000
